"sentence","true_label","predicted_label","is_correct"
"Any albino tiger has orange fur, marked with black stripes.","1","0","False"
"I squeaked the door.","0","1","False"
"Extremely frantically, Anson danced at Trade","1","0","False"
"She asked was Alison coming to the party.","1","0","False"
"Either Sam plays the bassoon or Jekyll the oboe.","1","0","False"
"What did you leave before they did?","0","1","False"
"Chris handed Bo.","0","1","False"
"The man who Mary loves and Sally hates computed my tax.","1","0","False"
"John heard that they criticized themselves.","0","1","False"
"Over the fire there bubbled a fragrant stew.","1","0","False"
"Books were taken from no student and given to Mary.","1","0","False"
"Henri wants to buy which books about cooking?","1","0","False"
"He could not] have been working.","1","0","False"
"The person whose mother's dog we were all fond of.","1","0","False"
"John told Mary that it was important to Fred to leave early.","1","0","False"
"It would prove our theory to be untenable for carrots to be vegetables.","1","0","False"
"The kennel which Mary made and Fido sleeps has been stolen.","0","1","False"
"It's not because I have any sympathy for urban guerillas that I helped him.","1","0","False"
"The government's imposition of a fine.","1","0","False"
"John promised Bill to leave.","1","0","False"
"There was some particular dog who saved every family.","1","0","False"
"I can't remember the name of somebody who had misgivings.","0","1","False"
"Sandra beamed a cheerful welcome.","1","0","False"
"Which experts testified against defendants who exposed them?","1","0","False"
"Maxwell is quite a doctor.","1","0","False"
"That Fido barks annoys me.","1","0","False"
"Max seemed to be trying to force Ted to leave the room, and Walt to stay a little longer.","0","1","False"
"Joan said she talked to the students, but Fred couldn't figure out who.","0","1","False"
"It was expected by the reporters that the principal would fire some teacher.","1","0","False"
"Harry told Sue that Albania is a lovely place for a vacation, and Tom.","1","0","False"
"I said that never in my life had I seen a place like Bangor.","1","0","False"
"Came right in he did without so much as a knock.","1","0","False"
"Which book's, author did you meet?","1","0","False"
"The bread cuts easily.","1","0","False"
"They realised that never had Sir Thomas been so offended.","1","0","False"
"Fred talked about everything before Rusty did talk about something.","1","0","False"
"Chocolate eggs were hidden from every child by his mother.","1","0","False"
"The horse raced past the barn fell.","1","0","False"
"Mary claimed that eating cabbage, Holly shouldn't.","1","0","False"
"Mike talked about politics yesterday to my friends.","1","0","False"
"The table was wiped by John clean.","0","1","False"
"They noticed the painting, but I don't know for how long.","0","1","False"
"Who who you like does Sandy also like?","1","0","False"
"The problem we are discussing is George.","1","0","False"
"In which way is Sandy very anxious to see if the students will be able to solve the homework problem?","0","1","False"
"I wonder to whom they dedicated the building.","1","0","False"
"Sandy had read how many papers?!","1","0","False"
"Most people probably consider, even though the courts didn't actually find, Klaus guilty of murder.","1","0","False"
"List associates of each defendant who speaks Spanish.","1","0","False"
"John was promised by Bill to leave.","0","1","False"
"John gave Bill the dog dead.","1","0","False"
"The teacher became.","0","1","False"
"The book that I said that I'd never read.","1","0","False"
"John and someone were dancing together, but I don't know who.","0","1","False"
"He attributed to a short circuit which was caused by an overloaded transducer the fire which destroyed most of my factory.","1","0","False"
"If you had eaten more, you would want less.","1","0","False"
"I know which book Mag read, and which book Bob said that you hadn't.","1","0","False"
"John made Bill mad at himself.","1","0","False"
"The teacher handed the student.","0","1","False"
"She said she talked to those students but I don't know how many.","0","1","False"
"Each candidate who has interest in semantics will be admitted to the department.","1","0","False"
"He's a more reliable man.","1","0","False"
